variant,simulation_id,ring,radius_mm,groove_overlap,ring_mass_flow_kg_s,ring_mass_flux_kg_m2s,ring_dp_Pa,groove_dp_Pa,outlet_gas_K
apparent_prescribed_v9,E75,9,9.111661774296264,1.0,2.3056949760727595e-5,0.6027960721758849,109.81982105317894,0.0,628.4860215354098
apparent_prescribed_v9,E75,10,10.183621983037002,1.0,2.526955733204095e-5,0.5911007563050513,106.72554915830989,0.0,626.5645270936838
apparent_prescribed_v9,E76,1,0.5359801043703685,0.0,9.554905566403133e-7,0.42466246961791704,74.9652203773397,0.0,645.0862650410184
apparent_prescribed_v9,E76,2,1.6079403131111056,0.0,2.860737292986865e-6,0.4238129322943503,74.74843391368108,0.0,644.8542974576609
apparent_prescribed_v9,E76,3,2.6799005218518426,0.0,4.748780898531189e-6,0.4221138576472168,74.31570690821951,0.0,644.3897908889452
apparent_prescribed_v9,E76,4,3.7518607305925795,0.0,6.608152619405138e-6,0.41956524567651665,73.66872491617532,0.0,643.6915729952734
apparent_prescribed_v9,E76,5,4.8238209393333165,0.0,8.427383701740558e-6,0.4161670963822498,72.81000091133646,0.0,642.7578111795207
apparent_prescribed_v9,E76,6,5.895781148074053,0.0,1.0195005391669297e-5,0.4119194097644161,71.74285785896896,0.0,641.5859229487533
apparent_prescribed_v9,E76,7,6.96774135681479,0.9409271337274929,1.1899548935323206e-5,0.40682218582301577,70.47140712393184,0.0,640.1724550698156
apparent_prescribed_v9,E76,8,8.039701565555527,1.0,1.3529545578834154e-5,0.40087542455804864,69.00052407374582,0.0,638.5129301887298
apparent_prescribed_v9,E76,9,9.111661774296264,1.0,1.507352656833394e-5,0.39407912596951483,67.33582253319616,0.0,636.6016590593629
apparent_prescribed_v9,E76,10,10.183621983037002,1.0,1.6520023149954468e-5,0.3864332900574144,65.48363004831373,0.0,634.4315159822021
apparent_prescribed_v9,E77,1,0.5359801043703685,0.0,2.915519764148125e-6,1.295786561843611,153.41572229978473,0.0,431.45795956629655
apparent_prescribed_v9,E77,2,1.6079403131111056,0.0,8.729061799486248e-6,1.2931943406646291,152.98284517426922,0.0,431.3973964746168
apparent_prescribed_v9,E77,3,2.6799005218518426,0.0,1.4490111355949984e-5,1.2880098983066655,152.11873436854984,0.0,431.27608159217436
apparent_prescribed_v9,E77,4,3.7518607305925795,0.0,2.0163673447623083e-5,1.2802332347697192,150.82666482784225,0.0,431.09362494631733
apparent_prescribed_v9,E77,5,4.8238209393333165,0.0,2.571475308858927e-5,1.2698643500537912,149.11151979228765,0.0,430.84941004348974
apparent_prescribed_v9,E77,6,5.895781148074053,0.0,3.110835529293231e-5,1.2569032441588814,146.97975767282537,0.0,430.5425557316341
