stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,lateral_conductivity_scale,edge_felt_contact_scale,beam_sigma_mm,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
power,12,6.3545962009009545,1.6599137050130732,3.15908638453482,1.6360004270633846,0.9197141925156548,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,0.8925,0.8855
power,13,6.076632248456705,1.4957231716338406,2.8703658576585163,1.6361010380165455,0.8285192494874936,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,1.05,0.6545
power,14,5.8908648473002065,1.3664093969100355,2.5587412485466565,1.6498115143274583,0.860561928417627,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,1.05,0.77
power,15,5.830719537976102,1.3117219408152134,2.4069215993001336,1.6645331331884572,0.8960446078265449,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,1.05,0.8855
power,16,5.811788458744375,1.3045990651885155,2.4407595892627665,1.6658843520986457,0.8138378131125569,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,1.2075,0.6545
power,17,5.6260210575878755,1.1752852904647104,2.1291349801509067,1.6795948284095583,0.8458804920426902,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,1.2075,0.77
power,18,5.565875748263771,1.1205978343698881,1.9773153309043836,1.6943164472705574,0.8813631714516083,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,1.2075,0.8855
power,19,6.769564300140075,1.8848567378471464,3.648357568302176,1.6701607354511339,0.8361245075134609,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.4375,0.8925,0.6545
power,20,6.583796898983578,1.7555429631233415,3.3367329591903157,1.6838712117620465,0.8681671864435943,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.4375,0.8925,0.77
power,21,6.523651589659472,1.7008555070285192,3.1849133099437927,1.6985928306230456,0.9036498658525122,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.4375,0.8925,0.8855
